gene,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,valence
agreeableness,1.538015244,0.378961056,-0.336893814,-0.508390763,-0.102278279,2.214737053,-0.650795028,-1.234573009,-0.098389254
alcohol-drinking-behavior,0.780253946,0.247437963,0.517757718,1.277911861,-0.964124935,-0.066197765,1.349422897,0.133358847,-1.187132118
anger,-0.194703356,-0.974074023,-0.398253854,-0.136064658,-1.854749889,-0.956459872,0.933077242,-0.694419619,0.070873235
beard-thickness,0.745374191,0.952017017,-0.662422425,-0.173651607,-2.076891707,-0.790778956,1.225358892,0.735359961,1.760837078
bitter-taste,0.3305026,-0.191621469,-0.076249993,0.13851138,0.229646105,0.188799694,-0.62675269,-0.529680829,-1.326675937
black-hair,0.524441453,1.06968848,1.221607117,0.915155251,0.638264654,0.9202747,-0.56707746,-1.050621042,0.635818153
blood-glucose,1.133217158,2.342934048,0.478129124,-1.212448802,-0.141199374,-1.239821504,-0.418818921,-1.020794218,-0.130886086
caffeine-consumption,0.591260861,-0.072534558,0.507310276,-1.323784414,-0.519510217,-0.206219556,-0.284772909,-0.752626079,-1.025108558
calcium,0.257425337,-0.612916616,0.135070914,-0.694925677,1.995203435,-0.504148658,-0.272248446,0.812800186,-0.656399328
carbohydrate-intake,0.444109734,0.796289155,2.210125479,0.807031202,0.805791742,-1.058174709,1.010511078,-0.225500745,0.640579667
childhood-intelligence,0.205279858,-1.388966993,-0.112673528,-0.54777599,-0.155300553,0.809392388,0.224069015,-1.136679776,0.416417713
conscientiousness,-0.550320404,-0.094894361,0.524885776,0.556161054,-0.182589951,1.209292149,-2.469983163,-1.468276304,0.32722404
depression,-0.565782663,0.011240241,0.677107198,0.848899601,-0.614371663,0.655972518,0.40451596,0.791983934,0.218273194
egg-allergy,-0.126654197,-1.834145863,-2.090817187,-0.777552379,0.855263879,-0.043091149,1.542821238,-0.961397189,-1.610570464
endurance-performance,-1.04074607,1.234659489,-0.742846575,-1.203090548,0.601305643,-0.896176727,-0.974626604,1.286902049,-1.489979465
excessive-daytime-sleepiness,-0.37290322,-0.690186197,0.429931063,-0.20710473,-0.538019129,-0.697862523,-2.874441948,1.659628079,-1.327009253
extraversion,-0.461552622,1.352506925,-0.642063966,1.106718987,0.422945422,-2.934612955,0.831959056,-0.916574176,0.01682871
freckles,0.648539784,-0.512969387,0.274921488,1.037442647,-0.320108273,0.639388034,-0.050998998,1.441538721,-0.062817813
gambling,-0.528927976,0.043312427,-0.780049154,0.038297188,0.516720951,0.416617052,0.588640013,1.165784835,-0.195784907
eye-color,0.916874539,0.325135159,-0.867258861,-1.398697403,-0.279706123,0.650926547,-0.038990787,0.329915636,0.670374535
harm-avoidance,-0.058783921,1.264272917,-0.250913864,3.139574159,-1.075591208,-0.597526267,0.400900026,-0.132145691,0.201828247
hearing-function,0.075133787,-0.245602892,-0.421987564,0.623486773,-1.035545908,-2.279125023,1.144161618,-1.114401755,1.396816448
height,-0.126743738,-0.085477734,1.3117566,0.291497858,-0.578549583,1.250469155,0.091842496,0.118883083,0.723207441
intelligence,-0.652478777,-2.140308386,1.26866367,0.586034887,2.640898912,-0.454063144,0.147049184,-0.781535245,-2.239004887
iron,-0.732140355,0.351175297,-1.885308364,-1.245770822,1.115372161,0.149052353,0.377078047,-2.476780242,0.189393497
job-related-exhaustion,-1.023036855,1.33013358,0.965835606,-0.683838989,-2.403730387,-0.243614026,0.460860539,1.66958276,-0.330030551
lobe-size,0.435031816,-1.114551459,-0.596536164,0.735774559,0.139595359,0.639108551,0.11955895,-1.003755708,-0.969707064
longevity,-0.08914476,1.617113818,1.02130833,-1.774203052,-0.356944065,-1.284862553,-0.348616409,0.01077399,-0.033661109
mathematical-ability,-1.40250316,1.57399483,0.450227553,-0.452384116,-0.297748904,1.180114936,-0.227594275,1.099364543,-0.196947623
milk-allergy,2.292153073,-1.253778843,-0.004788957,-1.327094045,0.96695794,-0.218476454,-1.580936269,-0.888221153,1.2412782
morning-person,1.068550527,-0.320974925,-0.703211856,-0.580444909,0.628551562,0.017228655,-0.119538356,-1.098242559,-0.764878689
motion-sickness,-0.262379113,1.16345056,1.202883279,0.507938843,0.082893816,-0.411179815,0.906688259,-2.658877996,0.694067956
neuroticism,-1.225978466,0.005086486,-0.422155731,-1.147337223,-0.59048728,0.011380586,-0.163298344,0.54470966,1.315210146
novelty-seeking,-0.815572163,0.60249827,0.192516401,0.778934587,0.687888298,-0.264270518,0.231755287,-0.094624251,0.292644359
openness,1.44198607,0.531321684,1.65224572,-0.693915214,-0.245379384,-0.315222151,-1.366762049,-1.150187752,-1.036025388
reading-and-spelling-ability,0.773227746,-1.282282364,0.994506601,0.523518256,-0.597340428,0.768104278,-0.265794286,-1.176444724,0.829925023
red-hair,-1.214784,-1.666894282,0.169363764,1.377928472,0.539275802,-0.45419291,0.817660952,1.542523582,0.982393452
red-wine-liking,-0.319204996,0.292888408,0.139331511,1.597543252,0.372820775,-0.427427668,-0.590150592,1.64967179,-0.412228529
reward-dependence,-0.885979293,-0.565690682,-0.633230982,-1.430279241,0.929577652,0.696129119,1.681477609,0.77101957,-1.157798864
smoking-behavior,-1.067630755,2.10649725,1.203598745,0.978233285,0.561224185,-0.732768762,-1.020549089,-0.570107563,0.13431975
white-wine-liking,-2.35932616,-1.079158603,1.621102485,1.371597072,-2.074310206,-0.164531477,-0.904533387,1.288628473,-0.767162725
